iter	Passed	Remaining
247	5287	16034
248	5307	16008
249	5327	15983
250	5346	15955
251	5366	15928
252	5387	15906
253	5408	15884
254	5429	15861
255	5451	15842
256	5473	15822
257	5494	15801
258	5515	15780
259	5536	15758
260	5557	15735
261	5577	15711
262	5603	15701
263	5622	15676
264	5643	15653
265	5663	15628
266	5684	15605
267	5704	15580
268	5724	15555
269	5746	15537
270	5767	15513
271	5788	15492
272	5808	15468
273	5830	15448
274	5851	15425
275	5871	15401
276	5892	15381
277	5912	15356
278	5936	15341
279	5960	15326
280	5982	15307
281	6002	15283
282	6022	15258
283	6040	15230
284	6060	15204
285	6079	15177
286	6097	15148
287	6115	15119
288	6134	15092
289	6152	15062
290	6171	15035
291	6189	15007
292	6207	14979
293	6227	14955
294	6248	14931
295	6267	14907
296	6289	14888
297	6309	14864
298	6330	14840
299	6352	14821
300	6374	14802
301	6395	14781
302	6414	14755
303	6434	14732
304	6455	14710
305	6475	14685
306	6495	14662
307	6517	14642
308	6537	14619
309	6558	14597
310	6577	14571
311	6595	14544
312	6614	14518
313	6633	14492
314	6651	14464
315	6670	14439
316	6690	14414
317	6708	14387
318	6726	14359
319	6746	14337
320	6765	14310
321	6783	14283
322	6801	14255
323	6822	14233
324	6840	14208
325	6860	14184
326	6880	14160
327	6901	14139
328	6921	14116
329	6941	14093
330	6960	14068
331	6980	14045
332	6999	14020
333	7019	13996
334	7039	13974
335	7063	13958
336	7087	13944
337	7108	13922
338	7130	13903
339	7156	13891
340	7178	13871
341	7200	13854
342	7222	13834
343	7241	13809
344	7261	13786
345	7281	13762
346	7301	13739
347	7320	13715
348	7339	13690
349	7359	13667
350	7378	13643
351	7398	13619
352	7418	13596
353	7436	13570
354	7455	13546
355	7473	13519
356	7491	13493
357	7509	13466
358	7527	13439
359	7545	13413
360	7563	13387
361	7582	13362
362	7599	13335
363	7616	13307
364	7632	13278
365	7648	13249
366	7665	13220
367	7681	13192
368	7697	13163
369	7713	13133
370	7730	13106
371	7746	13078
372	7763	13050
373	7779	13021
374	7795	12993
375	7812	12965
376	7828	12937
377	7847	12913
378	7865	12887
379	7881	12858
380	7897	12831
381	7914	12804
382	7933	12781
383	7951	12755
384	7968	12729
385	7986	12703
386	8004	12679
387	8021	12652
388	8038	12626
389	8055	12599
390	8072	12573
391	8089	12547
392	8106	12520
393	8123	12494
394	8139	12467
395	8158	12443
396	8174	12416
397	8191	12390
398	8208	12364
399	8224	12337
400	8241	12311
401	8258	12284
402	8274	12258
403	8291	12232
